"b","loglik","loglik.se","delta.loglik","cea","cel","cpa","mu_A","mu_L","tau_E","tau_L","tau_P","od"
0.15,-7411.03921375553,0.602861975012035,-7411.03921375553,5.69347178027846e-05,0.00879213104076808,0.000181615817097779,0.0634190166024796,9.38991952628642e-07,10.6795771022794,12.0537397586895,10.1230869410365,1.55275220850322
0.16,-7407.89018467983,1.12260087228268,-7407.89018467983,2.85690924766945e-05,0.00877643789636841,1.31102298681942e-06,0.071235120162333,4.55028896761068e-06,9.28081513596687,13.8670807065457,9.97540422709504,1.57284844948289
0.17,-7410.89690572927,0.340812100506643,-7410.89690572927,1.87166854148188e-05,0.0112501501036636,1.17091927672189e-06,0.0606274390430734,2.33583005213633e-06,7.20795759397337,14.0652949897757,11.0432891961469,1.49629572430361
0.18,-7406.36649616578,0.248889870229598,1.00371594983426,4.87328123371963e-06,0.0106727616543662,1.56338307036771e-07,0.0788007949591994,5.39969718353469e-06,11.533991678812,11.6474477067823,10.2184551952409,1.55525848256142
0.19,-7410.69526202697,0.593975562151684,-6.230868814735,2.02745503332378e-05,0.0117281354254972,0.000394823519342432,0.0730920784592968,1.92068777758866e-06,8.35494456899041,13.9558875769033,10.7463632867847,1.62327718881921
0.2,-7414.64914332779,0.712630725854932,-6.12800440979208,2.68264349981175e-05,0.00950818324346976,1.34133603564845e-06,0.0894362295640132,6.62386656463429e-06,9.82690378505887,13.6947897747528,10.657627738267,1.44629549269193
0.21,-7406.58090892488,0.447263405283695,-4.70144641252227,1.8892692088564e-06,0.0152530556050323,2.04452570792922e-05,0.0770999680906927,2.08485725237608e-06,12.1473765098575,11.6825607024118,11.0946947105448,1.47490397338578
0.22,-7398.95659396611,1.18376260228415,-7398.95659396611,9.23763755465482e-05,0.0151653180450753,2.18105079792781e-06,0.0738295276591075,2.2017994390267e-05,11.9808770205193,12.8212830478843,9.90890301263939,1.5431477513215
0.23,-7410.25329464244,0.29461454851205,-7410.25329464244,1.73455512225136e-05,0.0164043901047212,8.66428898804013e-06,0.062785175067701,0.000134953357461475,8.03151011183571,14.00546392125,11.7185432304194,1.61824870416977
0.24,-7403.32966105041,0.44913082859932,-0.66258263437976,0.000389837567911907,0.0133968836237791,2.88622975858904e-06,0.0851931078216205,4.03137941481964e-05,11.8737371877232,12.6453823213097,9.9886999179312,1.5229741809743
0.25,-7401.63383438718,0.413413672443613,-7401.63383438718,2.80471303375415e-06,0.015735740369971,6.24592546290195e-06,0.0694395958959777,0.000296881670630783,12.9617377412576,12.4034729276255,9.19032086391969,1.42978527380327
0.26,-7399.01861584869,0.716566850457725,0.848761224555346,1.7872948261454e-05,0.0197581489998196,5.72579168630505e-07,0.0638837714286408,0.00533637374292225,12.2280562840569,12.7889892818809,9.60701580926996,1.49747885739315
0.27,-7396.87865139354,0.449607822878962,-7396.87865139354,1.29166736731354e-05,0.0176776807575275,6.9180658573645e-06,0.0731139436324516,0.000356958367380545,12.7674743462303,13.2928497558394,9.19901316098057,1.53147581492665
0.28,-7402.19983190311,0.976667303802945,-7402.19983190311,1.23191017151263e-06,0.0179305018765065,8.7127727771706e-06,0.0658016723722548,0.00195022782509565,10.9080656203605,14.4498438914154,9.75648639125268,1.65214129469322
0.29,-7395.81783666775,0.371951020487327,-7395.81783666775,6.13967063235162e-06,0.0207511255082816,1.45005501511839e-05,0.0658996567530374,0.0001001830474721,11.9360116752648,13.5216649233855,9.59957574988384,1.48796184775609
0.3,-7401.57240738624,0.316630945800833,-3.40772844489584,1.6364523812029e-07,0.020732451506431,6.03307673142757e-05,0.0710303830773028,0.00940439219862104,12.5582663320664,12.496567810296,10.4740080329363,1.61100137552854
0.31,-7400.15770377331,0.757075576140877,-2.10408508374621,4.96267693602111e-06,0.0194776098351453,0.00016279506092856,0.063197584839135,0.0189264280797825,12.4274848926197,13.0912528490209,10.2090113382201,1.5233225368158
0.32,-7398.52681882202,0.635361442848236,2.82195487093668,4.85381006842583e-06,0.02319938319189,7.89705433581469e-06,0.0658371951491304,0.000648401258662664,12.1605652170467,13.4828525148356,10.2749273772029,1.49844920002051
0.33,-7399.61038684526,0.492139807003979,-7399.61038684526,2.04671106855931e-05,0.0207581835500844,3.91006841172799e-05,0.0768873264147699,9.7344929665843e-05,12.4245716313676,13.9595082085367,9.38361791381963,1.4112031646858
0.34,-7397.25927840688,1.11109428112358,-7397.25927840688,4.72490470739757e-06,0.0258221742085091,7.4764638615676e-07,0.0594371522271975,0.000519278735083175,12.783629977005,13.4486736169975,9.39924805189007,1.52856201593378
0.35,-7397.44329901532,0.526906734340738,-0.0556401289068162,0.000113036206016632,0.0229933465016993,2.13414893646895e-05,0.07372743308419,5.00995360781436e-06,14.4941393243248,12.2064205777408,9.66831568950693,1.54280144286008
0.36,-7401.16130197411,0.581331302027474,-7401.16130197411,1.11513464562309e-05,0.0267688769209324,5.54836730909838e-06,0.0554478348432869,0.00344259969504128,14.4052302450059,12.5392475539867,9.7510205458461,1.48836834357092
0.37,-7400.69510065064,0.631640312066168,3.84702562145594,0.00145529074864392,0.0196530508076264,0.000133918682327246,0.066777233054046,0.00517910533637123,12.747832583024,13.7558426326425,9.18150515331209,1.5616354816464
0.38,-7401.12988300102,0.796223410228701,-7401.12988300102,5.19058588632377e-06,0.0235837791814457,0.000588936763689688,0.0673693129210907,0.000110090432334928,12.2524467525839,14.5789241575618,9.0114789373011,1.5520943762789
0.39,-7401.53169279695,0.232557204466805,-6.04242332774993,6.4589651345554e-06,0.0214530257617793,6.45001930059004e-05,0.0777323325654447,5.39881830305685e-05,12.5350420009385,14.4328427883391,9.65070761238583,1.50582418277178
0.4,-7400.96467588811,0.403471879418334,-7400.96467588811,3.60502438151373e-06,0.0217019489646544,3.25567436211575e-06,0.0769589554953448,0.00344764018091236,13.2624908436754,13.3260841716784,9.4109546511501,1.49255677762229
0.41,-7402.0692796317,0.532214066256831,-4.30189899440848,7.67069021906686e-05,0.0248559535738824,2.36639555281381e-05,0.0813924775731297,0.00184877750616924,14.1064757946954,12.6888843352659,10.1452437974604,1.44848393917285
0.42,-7397.39432278372,0.269012572911562,-7397.39432278372,1.50231744708566e-06,0.0264625051651987,1.75927756154186e-05,0.0668419370374985,0.00150853716964798,14.5286247991341,12.7450642622297,9.8754617175847,1.48221254420054
0.43,-7402.69341320467,0.429948918810863,-7402.69341320467,1.50313968734687e-06,0.0250044487698649,6.26991190912917e-05,0.0630847257344543,0.000930767900196539,11.7359924463502,15.0308967458495,9.48371437554478,1.44048661302573
0.44,-7397.68595885396,0.700570428636077,-7397.68595885396,3.70474169550811e-05,0.027357919353342,4.48688829608077e-06,0.0645819134112312,0.000564962137012461,13.9582044394919,13.595721158684,8.98470291788089,1.5408284172187
0.45,-7403.3915121244,0.241234082053558,-6.84307124538191,4.24314092993569e-05,0.0228745350842645,1.93123009345143e-08,0.0793030940965076,0.00352345534414137,13.9142447382992,13.0672900654449,10.0238215094965,1.44570230465541
0.46,-7401.59288938406,0.394283328603942,-1.77340947639459,3.07163600486676e-05,0.0245928963740719,2.6165429484457e-05,0.0768855547001887,5.19549883545681e-05,13.5467913262352,13.5757716015823,9.36177839803611,1.43001052206778
0.47,-7401.93395937675,0.258798649687376,-2.21442190406287,0.000138941746992642,0.0301122513271736,4.69725518199127e-08,0.0675293339157063,6.31522279169382e-05,14.3694237249991,12.4831522794971,10.2850868105247,1.59341450258631
0.48,-7399.26181380863,0.342094460911578,1.60218160658769,4.57567897179865e-05,0.0291567761206383,5.97107887001956e-05,0.0615869867376992,0.00144754828259936,13.812064622635,13.7882305179119,9.11503436917438,1.57331771547499
0.49,-7401.72762283499,0.482846696109481,-7401.72762283499,2.14991937613829e-05,0.0272695696583308,4.91156111968209e-07,0.0701413315405305,0.000850415473751309,13.2471353334925,14.3321686468975,9.69852093877228,1.63682964734371
0.5,-7398.81564044777,0.3776095483358,-7398.81564044777,1.01092268564847e-05,0.026081404316644,2.46934813278148e-06,0.0691207821090147,0.000378640092347077,13.5502937872233,14.3595714822126,9.21511135394826,1.56878326649735
0.51,-7401.57398931264,0.232256062153062,-7401.57398931264,0.000306301502610361,0.0282119812229067,3.13465485667197e-07,0.0628797102343107,0.00119764971264863,13.1781007006986,14.4651858737667,8.88922972858668,1.59237932581524
0.52,-7400.30732949542,0.706872544360334,6.71370531391949,5.3017375050062e-05,0.0298937818702301,1.91237140707922e-06,0.0738181126832577,1.08173474796522e-06,14.0786948771953,13.4231601433962,9.62897721712948,1.52687350219125
0.53,-7429.86111935078,0.252469747957555,2.39826766023634,4.63536497452459e-06,0.0293813960721017,0.000116721090205468,0.0509557681597186,7.92211330838892e-05,7.59477202524831,17.960519910264,10.065066701097,1.56133435144674
0.54,-7404.01581586344,0.231048099403103,0.887152205287748,0.0195900904293889,0.00325857883360726,0.0142460469774759,0.000174428987932863,0.180147687714025,13.2602652755039,13.6729579050626,36.5388811413286,1.5847763097677
0.55,-7401.76485899845,0.15057734259529,-7401.76485899845,0.0185888339717691,0.00472908354768766,0.0174058063507654,1.51660615371416e-06,0.16170581300935,12.3731515129525,12.9318340524666,34.001541829305,1.5808883981238
0.56,-7402.79993856973,0.160832783552517,-1.80326509046336,0.0110182326733172,0.0177272961400778,0.0406759697117901,3.92964221699444e-07,0.00150573921286806,11.2365980422092,13.1083158138316,15.9987749983023,1.58778431875284
0.57,-7402.10726757298,0.24499920784559,-0.201630190495962,0.00866848066819078,0.0212076280107291,0.0406632656934248,1.87669635718359e-07,0.000123375016402137,12.4442260180816,12.2910777658826,17.2735292988007,1.61556372708072
0.58,-7400.01328992015,0.222147473839229,1.8934879283679,0.0127267361508727,0.0169255080713076,0.0396448130939075,1.13985168734222e-06,0.000295490946769797,10.6822266197442,12.1682014293283,17.2333094632108,1.54973806916219
0.59,-7399.32728494618,0.204094381330115,1.95952636196489,0.0123338276909203,0.017769904529363,0.0401859278909883,1.77681119345174e-06,2.30902946075649e-06,11.6004512153498,12.1351513165814,16.6175028338481,1.53067250208863
0.6,-7405.85599941354,0.266877241711367,-6.29216810682374,0.0132007591191217,0.0166223186421865,0.0518023672733598,5.18990187008345e-06,0.00135691846170268,8.43502800052659,13.2041987993084,18.5843774587219,1.60494760570208
0.61,-7403.55181302878,0.234351148333196,-1.07789778342521,0.0141403729074781,0.0169689992938777,0.0389385493176391,0.000445026468588276,4.07293553401015e-05,11.4595196774017,11.9076242513807,16.1563906877381,1.63801450601986
0.62,-7402.85831121972,0.174394053773094,2.53334500530218,0.0126145497282304,0.0161718817257788,0.0453098783417508,2.97731302700396e-08,0.00819756994681101,11.7392174253632,11.533359321857,17.7617164425775,1.58992783425229
0.63,-7403.05508380579,0.115827688824724,-0.33541991274069,0.0186910929728033,0.000381804555906192,0.0117468072741465,7.35936626438513e-05,0.222537082606066,14.0444703096649,11.5677267301516,38.5280153116251,1.60903911005911
0.64,-7400.12666072553,0.273508458790505,-7400.12666072553,0.018491308554652,0.00513133252456044,0.0153941665909574,2.05198156788456e-07,0.180313199166394,13.0848333960863,12.3122215606506,34.4812803335265,1.63449926769559
0.65,-7400.70522025608,0.233085541639334,-7400.70522025608,0.0194189875261043,0.00624479621671337,0.0212865887167377,3.47689270162054e-06,0.160571408222051,12.8484491797672,12.1237134951934,34.2811415060248,1.5464480724142
0.66,-7400.99492442279,0.222354862305804,-1.962449880446,0.0170782416765081,0.00481822188265564,0.011026279998301,6.822544234322e-07,0.212623928547074,14.9215211656842,12.7971345845467,38.2258447557043,1.60041562763031
0.67,-7400.86794420103,0.273079627481428,0.0289147105322627,0.0190291373058263,0.00272333707928443,0.0140339814889778,3.04507709640717e-05,0.213081106462171,12.9990310584958,12.3278405369056,37.8061409769547,1.61904332313152
0.68,-7401.96780129254,0.159278129071865,0.310968973545641,0.0193872391015432,0.00839541380518768,0.0195882354503502,0.000108969696764442,0.144351183019341,11.6236719155066,12.4612819034867,32.6961305080114,1.57610785706912
0.69,-7399.22425757968,0.118317527811285,14.1725424174538,0.0191942653015402,0.00641730865995366,0.0162918196597098,2.92484395551812e-05,0.189195330537846,12.466604826343,12.3422558363755,38.242924609946,1.61663328077753
0.7,-7404.10308808008,0.2119061183718,-4.18562466095682,0.0207795394515786,0.000526944521825797,0.0152740781030017,8.53208444711418e-05,0.221580132809736,13.2958945726206,10.6820238747998,38.3498589771686,1.59152414956664
0.71,-7399.72254237724,0.160884635835902,-7399.72254237724,0.0186718430411567,0.0106746276766057,0.0159689810316169,2.96616785489314e-05,0.16242510294613,12.5882680961391,13.040982331397,37.1033817740819,1.60423653119982
0.72,-7401.76869936801,0.585982684927695,8.75605594886474,0.0127022829620678,0.0193712661244999,0.0394373581040446,0.000138015670021682,0.00672517160375878,11.9444283749403,12.2329404910653,17.9755722687847,1.65205606873598
0.73,-7398.73197671944,0.160370776155044,-7398.73197671944,0.0171406531031657,0.00569823509137079,0.0134708553206203,4.03290278543802e-06,0.203345358936857,13.9635165301083,11.8098423733915,36.484879252075,1.58816849955023
0.74,-7399.44647576913,0.193750600140048,-7399.44647576913,0.0199408786205133,0.0094834690648672,0.0217737774462541,7.78604449463792e-05,0.155353690935196,11.9258249201053,12.3399385079016,34.7030449163295,1.59388476832668
